Rk,Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,key
191,Isaiah Stewart,C,24,DET,14,165,12.6,.675,.235,.500,9.1,14.5,11.8,2.8,0.3,8.8,17.8,13.4,,0.2,0.2,0.4,.130,,-3.7,2.3,-1.3,0.0,isaiah stewart
192,Julian Strawther,SG,23,DEN,2,18,-2.0,.381,.429,.286,6.3,12.3,9.4,0.0,0.0,0.0,20.2,24.3,,-0.1,0.0,-0.1,-0.237,,-7.0,-4.4,-11.5,0.0,julian strawther
193,Max Strus,SF,29,CLE,18,481,12.1,.579,.768,.174,6.9,14.5,10.7,12.1,1.6,0.7,13.9,15.8,,0.6,0.3,0.9,.093,,0.3,0.6,0.9,0.3,max strus
194,Jalen Suggs,PG,24,ORL,7,248,6.4,.419,.621,.161,2.1,10.5,6.1,20.0,2.6,1.5,18.4,20.0,,-0.6,0.4,-0.2,-0.039,,-4.3,0.4,-3.8,-0.1,jalen suggs
195,Jae'Sean Tate,SF,30,HOU,5,30,10.7,.396,.400,.600,21.6,17.2,19.6,0.0,1.7,0.0,0.0,18.6,,0.0,0.0,0.1,.092,,-5.7,-1.8,-7.5,0.0,jaesean tate
196,Jayson Tatum,PF,27,BOS,6,218,24.1,.608,.515,.317,2.9,29.7,16.0,32.7,1.6,0.0,12.9,26.8,,0.6,0.3,1.0,.213,,5.5,3.5,8.9,0.6,jayson tatum
197,Garrett Temple,SG,39,TOR,2,2,-3.1,.000,.000,.000,0.0,0.0,0.0,60.5,0.0,0.0,0.0,21.4,,0.0,0.0,0.0,-0.317,,-9.0,-4.6,-13.5,0.0,garrett temple
198,Dalen Terry,SG,23,PHI,7,39,13.1,.404,.385,.538,0.0,11.9,5.9,26.7,6.6,0.0,11.1,21.2,,-0.1,0.0,0.0,-0.015,,-1.8,3.6,1.8,0.0,dalen terry
199,Adou Thiero,SF,21,LAL,6,34,6.6,.521,.333,1.000,18.4,24.4,21.5,4.4,0.0,0.0,31.6,17.0,,0.0,0.0,0.0,-0.036,,-5.9,-3.2,-9.1,-0.1,adou thiero
200,Amen Thompson,PG,23,HOU,6,264,17.8,.553,.093,.477,6.1,13.2,9.4,23.0,2.4,2.6,12.6,19.9,,0.4,0.4,0.8,.139,,0.5,1.7,2.3,0.3,amen thompson
201,Ausar Thompson,SF,23,DET,14,427,16.5,.520,.072,.320,12.1,17.3,14.7,15.6,3.3,6.1,17.2,13.7,,0.4,0.9,1.2,.138,,0.3,5.0,5.3,0.8,ausar thompson
202,Matisse Thybulle,SG,28,POR,4,53,5.9,.235,.786,.143,2.0,16.2,8.5,10.7,2.8,5.1,0.0,12.1,,-0.1,0.1,-0.1,-0.049,,-5.8,3.1,-2.7,0.0,matisse thybulle
203,Nae'Qwan Tomlin,PF,25,CLE,7,19,23.4,.654,.000,.333,24.8,6.2,15.5,18.9,2.7,0.0,12.7,18.2,,0.1,0.0,0.1,.221,,3.9,1.1,5.0,0.0,naeqwan tomlin
204,Nikola TopiÄ,PG,20,OKC,9,22,4.9,.333,.333,.000,0.0,10.3,5.3,17.9,4.6,0.0,25.0,15.9,,-0.1,0.0,0.0,-0.082,,-8.3,2.0,-6.3,0.0,nikola topia
205,Karl-Anthony Towns,C,30,NYK,19,578,24.4,.684,.305,.412,10.2,29.1,20.2,23.7,2.1,4.4,18.5,20.6,,2.1,1.5,3.5,.293,,3.9,5.5,9.4,1.7,karlanthony towns
206,Jaylon Tyson,SG,23,CLE,17,216,8.9,.456,.551,.217,7.1,18.6,12.8,15.6,0.7,0.4,12.7,17.6,,0.0,0.1,0.1,.022,,-2.2,-0.7,-2.9,0.0,jaylon tyson
207,Jonas ValanÄiÅ«nas,C,33,DEN,4,25,6.3,.698,.000,.286,13.7,26.6,20.2,7.2,0.0,3.3,38.8,22.8,,-0.1,0.0,0.0,-0.051,,-12.3,-1.7,-14.1,-0.1,jonas valanaianas
208,Jarred Vanderbilt,PF,26,LAL,7,75,8.5,.429,.409,.136,8.4,30.0,19.5,4.2,1.4,0.0,4.1,14.8,,0.0,0.1,0.1,.040,,-5.0,-0.9,-6.0,-0.1,jarred vanderbilt
209,Devin Vassell,SG,25,SAS,23,801,13.6,.573,.609,.160,2.7,13.4,8.2,11.3,1.8,1.9,7.8,15.2,,1.1,1.2,2.3,.139,,0.9,2.5,3.4,1.1,devin vassell
210,Gabe Vincent,PG,29,ATL,6,93,7.4,.537,.818,.227,3.5,0.0,1.9,11.2,1.1,1.0,11.0,13.0,,0.0,-0.1,0.0,-0.011,,-2.7,-0.7,-3.3,0.0,gabe vincent
211,Nikola VuÄeviÄ,C,35,BOS,6,114,9.2,.477,.649,.108,4.7,20.6,12.4,18.3,0.4,2.4,17.1,18.1,,-0.1,0.1,0.1,.032,,-3.4,1.9,-1.6,0.0,nikola vuaevia
212,Dean Wade,PF,29,CLE,18,407,9.2,.596,.738,.046,7.0,13.4,10.2,5.0,1.6,0.2,13.1,8.2,,0.4,0.2,0.6,.070,,-0.3,0.8,0.5,0.2,dean wade
213,Franz Wagner,SF,24,ORL,4,122,20.1,.527,.158,.263,3.4,16.6,9.8,23.6,4.5,0.8,8.6,24.8,,0.1,0.3,0.4,.145,,2.6,4.6,7.2,0.3,franz wagner
214,Moritz Wagner,C,28,ORL,2,13,4.9,.512,.250,.500,8.0,17.3,12.5,0.0,0.0,0.0,17.0,19.7,,0.0,0.0,0.0,.017,,-6.0,-4.4,-10.5,0.0,moritz wagner
215,Jabari Walker,PF,23,PHI,6,29,-5.1,.184,.500,.200,7.9,16.0,11.9,0.0,0.0,0.0,8.4,18.7,,-0.2,0.0,-0.2,-0.285,,-11.4,-7.5,-18.8,-0.1,jabari walker
216,Cason Wallace,SG,22,OKC,15,374,17.6,.648,.646,.083,6.3,11.2,8.8,13.2,4.3,1.9,10.0,12.9,,0.9,0.5,1.4,.185,,2.0,5.4,7.4,0.9,cason wallace
